Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US35,35,New Mexico,2084828,,1080725,,795728,607,37287,897,181382,1287,28005,786,956,183,3915,682,33452,1671,1463,328,31989,1643,1004103,,752115,5953,4900,657,15809,1627,1986,595,434,160,194029,5720,34830,1869,21870,1461,12960,1100
0400000US36,36,New York,19798228,,16071990,,11071563,2453,2842869,5429,45623,1506,1639345,3632,5686,583,106834,3782,360070,6208,35641,1895,324429,5845,3726238,,1567228,15613,257816,7220,31507,2390,13501,1148,2251,446,1623979,18371,229956,6882,113117,4140,116839,5355
0400000US37,37,North Carolina,10052564,,9137772,126,6397460,1606,2127294,4337,109080,1295,267079,2015,5188,470,21712,1917,209959,4795,5977,785,203982,4691,914792,126,540006,6845,32133,2049,8918,1254,2085,506,1205,373,289208,6814,41237,2223,21678,1565,19559,1562
0400000US38,38,North Dakota,745475,,720731,126,638773,375,17014,591,38662,758,10047,511,316,128,704,385,15215,943,147,63,15068,944,24744,126,15251,778,351,144,845,251,150,116,25,30,5896,692,2226,483,1041,299,1185,375
0400000US39,39,Ohio,11609756,,11195266,152,9243187,1540,1408708,3563,17032,1043,234192,1831,3035,302,16755,1568,272357,4397,6881,868,265476,4249,414490,152,260592,3229,19522,1413,4840,678,1686,438,464,151,86971,2874,40415,1913,19026,1415,21389,1493
0400000US40,40,Oklahoma,3896251,,3501372,,2589210,553,278887,1783,276650,2671,79316,1100,5158,323,3864,624,268287,3726,2107,380,266180,3698,394879,,239359,3413,4934,535,13221,1018,1354,420,385,203,101822,3054,33804,1754,13172,1023,20632,1349
0400000US41,41,Oregon,4025127,,3515620,,3079995,882,72636,1272,34905,1306,164546,1773,14524,758,5519,948,143495,2882,2263,382,141232,2818,509507,,336781,4960,3711,708,10427,1494,1805,383,633,253,115481,4237,40669,2288,15236,1480,25433,1757
0400000US42,42,Pennsylvania,12790505,,11915672,111,9881135,1323,1358263,3211,14315,713,414492,1752,2243,295,20232,1959,224992,3536,8717,986,216275,3508,874833,111,497039,6321,59348,3214,10680,1407,3033,686,1422,463,230983,5178,72328,3288,27121,1734,45207,2829
0400000US44,44,Rhode Island,1056138,,902228,,773388,955,57860,1262,3904,392,35027,836,695,197,7201,1036,24153,1718,3146,536,21007,1580,153910,,81413,2581,10486,1371,1509,495,529,266,64,53,52766,2792,7143,1082,3743,665,3400,782
0400000US45,45,South Carolina,4893444,,4626046,71,3119676,770,1321219,2716,13464,726,71123,1235,2776,457,7566,1079,90222,2842,1832,486,88390,2882,267398,71,172922,3303,10891,1539,1528,469,871,281,239,133,66762,3077,14185,1373,8895,1005,5290,822
